Strike,Prix_Option,Volatilite_Implicite,Volume,Open_Interest,Bid,Ask,Type_Option,Date_Expiration,Prix_Sous_Jacent,Temps_Maturite_Annees,Volatilite_Historique,Moneyness,Jours_Jusqu_Maturite,Categorie_Maturite,Categorie_Moneyness
110.0,92.16,0.0010000000000000002,58.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.5462852585745627,13.0,Court terme (≤ 1 mois),ITM
120.0,84.87,0.0010000000000000002,3.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.5959475548086138,13.0,Court terme (≤ 1 mois),ITM
130.0,72.75,0.0010000000000000002,2.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.645609851042665,13.0,Court terme (≤ 1 mois),ITM
135.0,73.69,0.0010000000000000002,4.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.6704409991596906,13.0,Court terme (≤ 1 mois),ITM
140.0,69.16,0.0010000000000000002,4.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.6952721472767162,13.0,Court terme (≤ 1 mois),ITM
145.0,63.79,0.0010000000000000002,4.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.7201032953937417,13.0,Court terme (≤ 1 mois),ITM
150.0,51.28,0.0010000000000000002,2.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.7449344435107673,13.0,Court terme (≤ 1 mois),ITM
155.0,53.85,0.0010000000000000002,4.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.7697655916277929,13.0,Court terme (≤ 1 mois),ITM
160.0,42.4,0.0010000000000000002,4.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.7945967397448185,13.0,Court terme (≤ 1 mois),ITM
165.0,38.08,0.0010000000000000002,30.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.819427887861844,13.0,Court terme (≤ 1 mois),ITM
170.0,32.47,0.0010000000000000002,2.0,0,0.0,0.0,CALL,2025-06-06,201.36000061035156,0.03561643835616438,36.77754560385044,0.8442590359788695,13.0,Court terme (≤ 1 mois),ITM
