contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,expirationDate,underlyingPrice,daysToExpiration,yearsToExpiration,moneyness,logMoneyness,bidAskSpread,bidAskSpreadPct,liquidityScore,impliedVolatilityPct
AAPL250530C00185000,2025-05-23 19:49:13+00:00,185.0,11.1,11.0,11.3,-6.7299995,-37.745373,116.0,180.0,0.450200810546875,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.9474061555794541,-0.05402739117408084,0.3000000000000007,2.7027027027027093,160.79999999999998,45.0200810546875
AAPL250530C00187500,2025-05-23 19:58:17+00:00,187.5,8.93,8.85,9.2,-5.37,-37.552444,94.0,378.0,0.4318904467773438,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.9602089414656628,-0.04060437084194024,0.34999999999999964,3.9193729003359428,292.79999999999995,43.18904467773438
AAPL250530C00190000,2025-05-23 19:56:14+00:00,190.0,7.0,6.95,7.15,-5.0299997,-41.812134,1947.0,773.0,0.4030821411132813,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.9730117273518717,-0.02735914409191957,0.20000000000000018,2.85714285714286,1125.1999999999998,40.30821411132813
AAPL250530C00192500,2025-05-23 19:59:32+00:00,192.5,5.3,5.2,5.4,-4.8999996,-48.03921,1585.0,294.0,0.3890441955566406,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.9858145132380806,-0.014287062524566773,0.20000000000000018,3.7735849056603805,681.3,38.90441955566406
AAPL250530C00195000,2025-05-23 19:59:58+00:00,195.0,3.78,3.7,3.85,-3.9599998,-51.162792,17900.0,2068.0,0.372076591796875,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.9986172991242894,-0.0013836576886588562,0.1499999999999999,3.968253968253966,6817.6,37.207659179687504
AAPL250530C00197500,2025-05-23 19:59:53+00:00,197.5,2.56,2.52,2.59,-3.5900002,-58.37399,15623.0,618.0,0.3579165771484375,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.0114200850104982,0.01135536808877082,0.06999999999999984,2.734374999999994,5119.5,35.79165771484375
AAPL250530C00200000,2025-05-23 19:59:59+00:00,200.0,1.62,1.6,1.66,-2.6800003,-62.325584,25575.0,3540.0,0.3494938098144531,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.0242228708967072,0.023934150295631076,0.05999999999999983,3.703703703703693,10150.5,34.94938098144531
AAPL250530C00202500,2025-05-23 19:59:53+00:00,202.5,0.97,0.97,1.01,-2.03,-67.666664,15374.0,3316.0,0.34400070068359373,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.037025656782916,0.03635667029418815,0.040000000000000036,4.12371134020619,6933.4,34.400070068359376
AAPL250530C00205000,2025-05-23 19:59:59+00:00,205.0,0.58,0.56,0.6,-1.3600001,-70.103096,22610.0,10436.0,0.3435124243164062,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.0498284426691247,0.048626762886002414,0.039999999999999925,6.896551724137918,14088.2,34.35124243164062
AAPL250530C00207500,2025-05-23 19:59:53+00:00,207.5,0.34,0.34,0.36,-0.88,-72.13114,8420.0,6743.0,0.348639326171875,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.0626312285553337,0.06074812341834736,0.019999999999999962,5.8823529411764595,7246.099999999999,34.8639326171875
AAPL250530C00210000,2025-05-23 19:59:59+00:00,210.0,0.21,0.2,0.21,-0.53000003,-71.62163,22180.0,21940.0,0.3530338134765625,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.0754340144415424,0.07272431446506297,0.009999999999999981,4.761904761904753,22012.0,35.30338134765625
AAPL250530C00212500,2025-05-23 19:55:12+00:00,212.5,0.14,0.14,0.15,-0.3,-68.181816,8277.0,9074.0,0.37305314453125,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.0882368003277512,0.08455877211206574,0.009999999999999981,7.142857142857128,8834.9,37.305314453125
AAPL250530C00215000,2025-05-23 19:59:34+00:00,215.0,0.1,0.09,0.1,-0.18,-64.28572,11109.0,16626.0,0.38672488281249995,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.1010395862139601,0.09625481187525714,0.010000000000000009,10.000000000000009,14970.899999999998,38.67248828125
AAPL250530C00217500,2025-05-23 19:59:53+00:00,217.5,0.08,0.07,0.08,-0.10000001,-55.555557,2610.0,5227.0,0.4101621484375,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.113842372100169,0.10781563427633306,0.009999999999999995,12.499999999999993,4441.9,41.01621484375
AAPL250530C00220000,2025-05-23 19:59:00+00:00,220.0,0.06,0.05,0.06,-0.06999999,-53.84615,10087.0,22071.0,0.42774009765625004,False,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,1.1266451579863779,0.11924433009995593,0.009999999999999995,16.66666666666666,18475.8,42.774009765625
