Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,Log_Returns,Realized_Vol_10D,Parkinson_Vol_10D,Realized_Vol_20D,Parkinson_Vol_20D,Realized_Vol_30D,Parkinson_Vol_30D,Realized_Vol_60D,Parkinson_Vol_60D,Realized_Vol_90D,Parkinson_Vol_90D,Realized_Vol_252D,Parkinson_Vol_252D,SMA_20,SMA_50,RSI,Avg_Volume_20D,Vol_Rank_252D,Dividend,Dividend_Yield
2022-01-03 00:00:00-05:00,174.54294702694892,179.4996045429641,174.42516992990628,178.6456756591797,104487900,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0
2022-01-04 00:00:00-05:00,179.25417452208993,179.5584419205672,175.80904564797467,176.37832641601562,99310400,0.0,0.0,-0.012691878685547997,-0.012773108616682762,,,,,,,,,,,,,,,,,,0.0,0.0
2022-01-05 00:00:00-05:00,176.29001709220518,176.83966343060843,171.41188337376713,171.68670654296875,94537600,0.0,0.0,-0.02659975274955817,-0.026959927575786587,,,,,,,,,,,,,,,,,,0.0,0.0
2022-01-06 00:00:00-05:00,169.50772129643173,172.0596675486128,168.46731727841166,168.82066345214844,96904000,0.0,0.0,-0.016693447900132052,-0.0168343538399414,,,,,,,,,,,,,,,,,,0.0,0.0
2022-01-07 00:00:00-05:00,169.69422597653536,170.9211204367095,167.86860642072668,168.98753356933594,86709100,0.0,0.0,0.0009884460454971933,0.0009879578543786662,,,,,,,,,,,,,,,,,,0.0,0.0
2022-01-10 00:00:00-05:00,165.95467253383114,169.31145435336728,165.06148967296951,169.00718688964844,106765600,0.0,0.0,0.00011630041516896839,0.00011629365279998995,,,,,,,,,,,,,,,,,,0.0,0.0
2022-01-11 00:00:00-05:00,169.13477238363146,171.9418925722171,167.66249900972133,171.84375,76138300,0.0,0.0,0.016783683360185542,0.016644393714967173,,,,,,,,,,,,,,,,,,0.0,0.0
2022-01-12 00:00:00-05:00,172.8645062038037,173.90491024436494,171.58854802680634,172.28541564941406,74805200,0.0,0.0,0.00257015835265495,0.002566861144033241,,,,,,,,,,,,,,,,,,0.0,0.0
2022-01-13 00:00:00-05:00,172.53082457713552,173.35529415174287,168.6145716326397,169.00718688964844,84505800,0.0,0.0,-0.01902789477222222,-0.019211254859000465,,,,,,,,,,,,,,,,,,0.0,0.0
2022-01-14 00:00:00-05:00,168.17287788763613,170.56777832766494,167.92749898971087,169.87091064453125,80440800,0.0,0.0,0.005110574116867328,0.005097559455725963,,68.56742212298496,,,,,,,,,,,,,,,,0.0,0.0
