Strike,Prix_Option,Volatilite_Implicite,Volume,Open_Interest,Bid,Ask,Type_Option,Date_Expiration,Prix_Sous_Jacent,Temps_Maturite_Annees,Volatilite_Historique,Moneyness,Categorie_Moneyness
110.0,92.33,0.0010000000000000002,1.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.5462852585745627,ITM
120.0,90.9,0.0010000000000000002,1.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.5959475548086138,ITM
125.0,82.62,0.0010000000000000002,3.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.6207787029256394,ITM
130.0,77.85,0.0010000000000000002,1.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.645609851042665,ITM
135.0,67.61,0.0010000000000000002,1.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.6704409991596906,ITM
140.0,67.98,0.0010000000000000002,2.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.6952721472767162,ITM
145.0,56.34,0.0010000000000000002,1.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.7201032953937417,ITM
150.0,51.75,0.0010000000000000002,1.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.7449344435107673,ITM
155.0,57.61,0.0010000000000000002,1.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.7697655916277929,ITM
160.0,48.4,0.0010000000000000002,2.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.7945967397448185,ITM
165.0,37.68,0.0010000000000000002,30.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.819427887861844,ITM
170.0,31.83,0.0010000000000000002,8.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.8442590359788695,ITM
172.5,29.95,0.0010000000000000002,4.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.8566746100373823,ITM
175.0,27.32,0.0010000000000000002,1481.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.8690901840958951,ITM
177.5,25.0,0.0010000000000000002,8.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.8815057581544079,ITM
180.0,21.8,0.0010000000000000002,55.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.8939213322129207,ITM
182.5,20.23,0.0010000000000000002,30.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.9063369062714335,ITM
185.0,16.27,0.0010000000000000002,6.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.9187524803299463,ITM
187.5,14.94,0.0010000000000000002,17.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.9311680543884591,ITM
190.0,11.9,0.0010000000000000002,1285.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.9435836284469719,ITM
192.5,9.49,0.0010000000000000002,69.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.9559992025054846,ATM
195.0,7.25,0.0010000000000000002,847.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.9684147765639974,ATM
197.5,4.15,0.0010000000000000002,4095.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.9808303506225102,ATM
200.0,2.32,0.0010000000000000002,25822.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,0.993245924681023,ATM
202.5,1.0,3.12596875,54736.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.0056614987395358,ATM
205.0,0.32,6.250937500000001,50708.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.0180770727980486,ATM
207.5,0.08,12.500875,35292.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.0304926468565614,ATM
210.0,0.03,25.00075,33064.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.0429082209150742,ATM
212.5,0.02,25.00075,18074.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.055323794973587,OTM
215.0,0.01,25.00075,10582.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.0677393690320998,OTM
217.5,0.02,25.00075,3234.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.0801549430906126,OTM
220.0,0.01,50.0005,10809.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.0925705171491253,OTM
222.5,0.01,50.0005,910.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.1049860912076381,OTM
225.0,0.01,50.0005,1054.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.117401665266151,OTM
227.5,0.01,50.0005,1668.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.1298172393246637,OTM
230.0,0.01,50.0005,143.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.1422328133831765,OTM
232.5,0.01,50.0005,40.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.1546483874416893,OTM
235.0,0.01,50.0005,26.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.167063961500202,OTM
237.5,0.01,50.0005,5.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.1794795355587149,OTM
240.0,0.01,50.0005,7.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.1918951096172277,OTM
242.5,0.01,50.0005,20.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.2043106836757405,OTM
245.0,0.01,50.0005,4.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.2167262577342532,OTM
250.0,0.01,50.0005,1.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.2415574058512788,OTM
255.0,0.01,50.0005,11.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.2663885539683044,OTM
260.0,0.01,50.0005,1.0,0,0.0,0.0,CALL,2025-05-23,201.36000061035156,-0.0027397260273972603,36.77754560385028,1.29121970208533,OTM
