dataDate,surfaceId,ticker,spotPrice,optionLabel,optionType,strike,moneyness,moneynessPct,expirationDate,daysToExpiration,yearsToExpiration,optionPrice,bid,ask,impliedVolatility,delta,gamma,theta,vega,volume,openInterest,inTheMoney
2025-05-23,surface_vol_20250523,AAPL,199.95,30% 0.50Y,CALL,60.0,0.3001,30,2025-09-19,119,0.3258,140.675,140.2,141.15,113.47699511718751,0.9864,0.000269,-0.0266,0.0398,4.0,110,True
2025-05-23,surface_vol_20250523,AAPL,199.95,32% 0.25Y,CALL,65.0,0.3251,32,2025-06-20,28,0.0767,135.125,134.7,135.55,195.703146484375,0.9907,0.000232,-0.0572,0.0139,1.0,220,True
2025-05-23,surface_vol_20250523,AAPL,199.95,32% 0.50Y,CALL,65.0,0.3251,32,2025-09-19,119,0.3258,135.8,135.3,136.3,109.32662524414063,0.9838,0.000325,-0.0294,0.0462,30.0,54,True
2025-05-23,surface_vol_20250523,AAPL,199.95,35% 0.25Y,CALL,70.0,0.3501,35,2025-06-20,28,0.0767,130.175,129.75,130.6,189.453177734375,0.9884,0.000289,-0.066,0.0168,5.0,304,True
2025-05-23,surface_vol_20250523,AAPL,199.95,35% 0.50Y,CALL,70.0,0.3501,35,2025-09-19,119,0.3258,130.8,130.35,131.25,102.58837768554687,0.9827,0.000366,-0.0299,0.0488,1.0,51,True
2025-05-23,surface_vol_20250523,AAPL,199.95,37% 0.25Y,CALL,75.0,0.3751,37,2025-06-20,28,0.0767,125.2,124.75,125.65,180.46884765624998,0.9868,0.00034,-0.0704,0.0188,1.0,317,True
2025-05-23,surface_vol_20250523,AAPL,199.95,37% 0.50Y,CALL,75.0,0.3751,37,2025-09-19,119,0.3258,125.95,125.45,126.45,99.26758544921876,0.9795,0.000437,-0.033,0.0565,40.0,288,True
2025-05-23,surface_vol_20250523,AAPL,199.95,40% 0.25Y,CALL,80.0,0.4001,40,2025-06-20,28,0.0767,120.175,119.75,120.6,166.797041015625,0.9869,0.000365,-0.0662,0.0187,6.0,341,True
2025-05-23,surface_vol_20250523,AAPL,199.95,40% 0.50Y,CALL,80.0,0.4001,40,2025-09-19,119,0.3258,121.025,120.55,121.5,94.58013232421875,0.9771,0.000503,-0.0347,0.062,11.0,36,True
2025-05-23,surface_vol_20250523,AAPL,199.95,42% 0.25Y,CALL,85.0,0.4251,42,2025-06-20,28,0.0767,115.225,114.8,115.65,160.93769531249998,0.9843,0.000443,-0.0739,0.0218,1.0,699,True
2025-05-23,surface_vol_20250523,AAPL,199.95,42% 0.50Y,CALL,85.0,0.4251,42,2025-09-19,119,0.3258,116.125,115.7,116.55,90.45419702148439,0.9742,0.000581,-0.0366,0.0685,1.0,200,True
2025-05-23,surface_vol_20250523,AAPL,199.95,45% 0.25Y,CALL,90.0,0.4501,45,2025-06-20,28,0.0767,110.175,109.8,110.55,146.875265625,0.9852,0.00046,-0.0662,0.0207,4.0,447,True
2025-05-23,surface_vol_20250523,AAPL,199.95,45% 0.25Y,CALL,90.0,0.4501,45,2025-07-18,56,0.1533,110.55000000000001,110.15,110.95,113.0863720703125,0.9794,0.000561,-0.0508,0.0389,1.0,1,True
2025-05-23,surface_vol_20250523,AAPL,199.95,45% 0.25Y,CALL,90.0,0.4501,45,2025-08-15,84,0.23,110.92500000000001,110.45,111.4,98.7304814453125,0.9742,0.000633,-0.0451,0.0575,1.0,5,True
